DATE,US_Inflation_Percentage
1960-01-01,1.457975986
1961-01-01,1.070724148
1962-01-01,1.198773348
1963-01-01,1.239669421
1964-01-01,1.278911565
1965-01-01,1.585169264
1966-01-01,3.015075377
1967-01-01,2.772785623
1968-01-01,4.271796153
1969-01-01,5.4623862
1970-01-01,5.838255338
1971-01-01,4.292766688
1972-01-01,3.272278247
1973-01-01,6.177760064
1974-01-01,11.0548048
1975-01-01,9.143146865
1976-01-01,5.744812635
1977-01-01,6.501683995
1978-01-01,7.630963839
1979-01-01,11.25447113
1980-01-01,13.54920197
1981-01-01,10.33471534
1982-01-01,6.131427
1983-01-01,3.212435233
1984-01-01,4.300535475
1985-01-01,3.545644152
1986-01-01,1.898047722
1987-01-01,3.664563218
1988-01-01,4.077741107
1989-01-01,4.82700303
1990-01-01,5.39795644
1991-01-01,4.234963965
1992-01-01,3.028819678
1993-01-01,2.951656966
1994-01-01,2.607441592
1995-01-01,2.805419689
1996-01-01,2.9312042
1997-01-01,2.337689937
1998-01-01,1.552279099
1999-01-01,2.188027197
2000-01-01,3.376857271
2001-01-01,2.826171119
2002-01-01,1.586031627
2003-01-01,2.270094973
2004-01-01,2.677236693
2005-01-01,3.392746845
2006-01-01,3.225944101
2007-01-01,2.852672482
2008-01-01,3.839100297
2009-01-01,-0.355546266
2010-01-01,1.640043442
2011-01-01,3.156841569
2012-01-01,2.069337265
2013-01-01,1.464832656
2014-01-01,1.622222977
2015-01-01,0.118627136
2016-01-01,1.261583206
2017-01-01,2.130110004
2018-01-01,2.442583297
2019-01-01,1.812210075
2020-01-01,1.233584396
2021-01-01,4.697858864
2022-01-01,8.002799821
